EJER;CCAA;PROV;SEXO;MODELO;M190_P1;M190_P2;M190_P3
2024;8;2;2;190;41517;592661435,1900000;38190,0000000
2024;8;2;1;190;48382;858506998,7700000;44151,0000000
2024;10;3;1;190;188987;3381366198,7300000;172961,0000000
2024;10;3;2;190;193811;2708262990,0900000;178428,0000000
2024;1;4;2;190;66843;916854858,4000000;61612,0000000
2024;1;4;1;190;65572;1138756734,6000000;60053,0000000
2024;7;5;2;190;22078;308957217,3600000;19793,0000000
2024;7;5;1;190;26537;442763688,6100000;23263,0000000
2024;11;6;2;190;82446;1067293870,6700000;71680,0000000
2024;11;6;1;190;89810;1458616875,3400000;81244,0000000
2024;4;7;2;190;120520;1829724407,8100000;109305,0000000
2024;4;7;1;190;112697;2150807998,3000000;100113,0000000
2024;9;8;2;190;800557;12820520749,6000000;687337,0000000
2024;9;8;1;190;709523;14930451195,0100000;598171,0000000
2024;7;9;2;190;51009;803378501,1600000;45339,0000000
2024;7;9;1;190;57674;1230672858,1400000;49522,0000000
2024;11;10;1;190;59452;993629528,4000000;53990,0000000
2024;11;10;2;190;57496;770704269,2600000;50809,0000000
2024;1;11;2;190;130832;1961446194,1700000;121843,0000000
2024;1;11;1;190;152607;3031691536,3900000;138727,0000000
2024;10;12;2;190;75409;1088510191,6500000;68681,0000000
2024;10;12;1;190;74897;1436622649,5200000;68090,0000000
2024;8;13;1;190;67043;1203645740,5600000;61173,0000000
2024;8;13;2;190;54918;774663308,2000000;50663,0000000
2024;1;14;1;190;95704;1720841138,3700000;88625,0000000
2024;1;14;2;190;100889;1431782476,7100000;94452,0000000
2024;12;15;2;190;180169;2585286176,8200000;163378,0000000
2024;12;15;1;190;168617;3219451741,0900000;151202,0000000
2024;8;16;2;190;24520;336166823,2900000;22535,0000000
2024;8;16;1;190;29223;479875281,6100000;26625,0000000
2024;9;17;1;190;94598;1754991390,3100000;79258,0000000
2024;9;17;2;190;101374;1499838158,4300000;85526,0000000
2024;1;18;2;190;114939;1705247015,7100000;105474,0000000
2024;1;18;1;190;110247;2022256892,1200000;100191,0000000
2024;8;19;1;190;30830;625932719,5100000;26758,0000000
2024;8;19;2;190;25122;387559858,1800000;22619,0000000
2024;1;21;2;190;58185;822508592,9400000;54180,0000000
2024;1;21;1;190;60894;1143661332,2200000;56096,0000000
2024;2;22;2;190;30323;464598401,5100000;27133,0000000
2024;2;22;1;190;32161;627491264,7200000;28642,0000000
2024;1;23;1;190;83915;1436135670,8300000;77522,0000000
2024;1;23;2;190;80890;1102424068,9600000;75853,0000000
2024;7;24;1;190;80245;1704501315,2400000;72071,0000000
2024;7;24;2;190;74009;1150336899,4600000;67564,0000000
2024;9;25;1;190;59313;1032513228,7600000;49682,0000000
2024;9;25;2;190;62765;870372538,8000000;52137,0000000
2024;17;26;2;190;41878;636406026,8700000;37078,0000000
2024;17;26;1;190;44266;867670979,1500000;38680,0000000
2024;12;27;2;190;60624;839459802,6200000;55816,0000000
2024;12;27;1;190;56737;970556012,2900000;52178,0000000
2024;13;28;2;190;792189;13956288864,6700000;693751,0000000
2024;13;28;1;190;751944;17198205697,2200000;636329,0000000
2024;1;29;2;190;169712;2487511209,3800000;157708,0000000
2024;1;29;1;190;165798;3131427020,6000000;152161,0000000
2024;14;30;1;190;154774;2890261863,5400000;140569,0000000
2024;14;30;2;190;149624;2146923237,2800000;137467,0000000
2024;12;32;2;190;58591;765035767,2100000;54486,0000000
2024;12;32;1;190;53196;858721328,3500000;49136,0000000
2024;3;33;2;190;164599;2728972952,8200000;148177,0000000
2024;3;33;1;190;179070;4167380302,6900000;152778,0000000
2024;7;34;2;190;24386;371436590,8700000;21881,0000000
2024;7;34;1;190;27790;542003931,0800000;24164,0000000
2024;5;35;2;190;114909;1729610777,2500000;105992,0000000
2024;5;35;1;190;116352;2132973790,6700000;107000,0000000
2024;12;36;2;190;142645;2011973971,3500000;130119,0000000
2024;12;36;1;190;132934;2520976787,4300000;122036,0000000
2024;7;37;2;190;48698;737957141,6800000;43664,0000000
2024;7;37;1;190;52540;964142244,8100000;46514,0000000
2024;5;38;2;190;112047;1604846309,3100000;103513,0000000
2024;5;38;1;190;106530;1826439848,7600000;97247,0000000
2024;6;39;1;190;86580;1826538944,4300000;76455,0000000
2024;6;39;2;190;83702;1313939275,4700000;74955,0000000
2024;7;40;2;190;20284;304484866,7500000;17805,0000000
2024;7;40;1;190;22608;414485269,6100000;19376,0000000
2024;1;41;2;190;229255;3458603654,8300000;213638,0000000
2024;1;41;1;190;225991;4304262182,9100000;206787,0000000
2024;7;42;2;190;13093;206915337,0300000;11652,0000000
2024;7;42;1;190;14101;262489627,6900000;12265,0000000
2024;9;43;2;190;112003;1572303566,3500000;93518,0000000
2024;9;43;1;190;110832;2109746279,0700000;92859,0000000
2024;2;44;1;190;21398;420863279,8500000;18913,0000000
