EJER;CCAA;SECTOR;TIPOPER;MODELO;M390_1;M390_2;M390_3;M390_4;M390_5;M390_6;M390_7;M390_8;M390_9;M390_10;M390_11;M390_12;M390_13;M390_14;M390_15;M390_16;M390_17;M390_18;M390_19;M390_20;M390_21;M390_22;M390_23;M390_24;M390_25;M390_26;M390_27;M390_28;M390_29;M390_30;M390_31;M390_32;M390_33;M390_34;M390_35;M390_36;M390_37;M390_38;M390_39
2024;1;1;0;390;1071930276,480000;83928977,100000;83987018,920000;73130794,740000;14485972,750000;32903,370000;490043,810000;110106,250000;997624,280000;88326269,990000;-4339251,070000;1137783,040000;1197323705,100000;1053948887,800000;7592974,810000;5587039,400000;9803029,020000;821757,030000;538345422,770000;1207843843,060000;1048993569,320000;580067971,990000;620536248,100000;75267697,960000;9558313,450000;-3176896,820000;0,000000;-3145775,130000;-9804230,650000;-9773108,960000;45916294,480000;565586,210000;46705618,980000;8442002,340000;31121,690000;0,000000;0,000000;21355;0
2024;1;1;1;390;6393036410,320000;403681596,370000;403831525,910000;504687533,540000;79370704,390000;3106408,060000;11059837,250000;4888996,920000;27749146,820000;618869708,980000;-215038183,070000;200723,440000;6976576661,610000;6131744283,660000;387240850,400000;299331237,710000;53482302,670000;31212222,820000;2157592930,940000;7262740032,190000;6078260074,420000;4181466740,060000;3080506682,140000;360780343,220000;588712132,790000;-214834400,260000;1407939,640000;-211248784,290000;-238491254,630000;-236313578,300000;87136859,130000;91330908,100000;202040477,420000;36621586,520000;3585615,970000;6164225,480000;1799773,500000;12866;36
2024;1;2;0;390;36342059,850000;6196309,350000;6198049,380000;3585181,060000;434568,010000;4705,390000;12174,130000;3598,710000;749,700000;3465817,910000;2732231,470000;620,420000;38068903,690000;36403251,960000;113512,670000;254575,240000;175608,410000;17428,120000;18208630,720000;35963685,570000;35150790,000000;18776413,920000;17187271,650000;849818,490000;270604,730000;2732851,890000;0,000000;2741037,760000;2617130,850000;2625316,720000;3037103,920000;0,000000;127216,540000;292790,720000;8185,870000;0,000000;0,000000;673;0
2024;1;2;1;390;3956907759,390000;653817449,350000;653829842,200000;564011915,740000;55421543,360000;66616090,690000;13587057,460000;3999965,300000;607780,930000;694968105,200000;-41138263,000000;0,000000;5226250092,770000;3759955463,740000;49643034,780000;1237247892,930000;12664692,650000;55763727,290000;792273852,870000;5232266575,620000;3753110055,800000;3291997989,790000;1940268585,830000;257956584,100000;918581575,510000;-41091635,820000;66174640,840000;22244241,800000;3292874,980000;454111,760000;142953771,090000;155941643,250000;22861320,280000;23187536,710000;63335877,620000;66877842,740000;4549570,840000;4298;183
2024;1;3;0;390;1010885986,600000;171757083,650000;172236921,660000;112744046,530000;4401132,910000;558770,410000;2417714,150000;405213,090000;1918791,720000;121407805,360000;50829116,300000;873457,650000;1081828666,070000;994332537,830000;15529733,300000;15561077,920000;4345712,760000;2002382,900000;371889539,800000;1091988201,430000;993685037,020000;680689303,760000;406629683,650000;21360079,620000;13536721,710000;51702760,690000;0,000000;52527114,060000;47306422,520000;48130775,890000;59641609,480000;1110321,870000;5853197,860000;5372194,610000;824353,370000;0,000000;0,000000;14396;0
2024;1;3;1;390;35929879536,280000;5085649980,080000;5094715704,470000;3800212150,210000;147860837,840000;1065655768,190000;468517110,520000;70062506,020000;366645693,580000;5856453475,660000;-761737771,190000;14344,400000;50027208596,040000;31917824310,520000;7115367313,300000;6295815141,890000;157407908,560000;1606803887,100000;4661636866,310000;51195783482,380000;31890628629,080000;39427426061,690000;11768287798,080000;759742405,010000;5343453408,040000;-761724467,550000;1001922200,690000;261491971,780000;201969915,100000;223264153,740000;1114725675,700000;752744579,050000;121900141,400000;53411588,190000;1023205739,590000;55423557,710000;40129015,450000;14501;81
2024;1;4;0;390;3211381113,920000;631848631,100000;631865928,820000;255146800,460000;22202395,600000;113916,340000;2370064,150000;677014,810000;48461,980000;278002121,500000;353863807,320000;6073,600000;3408981559,960000;3134663882,890000;11912581,060000;6679284,420000;31141974,000000;8182220,880000;1866489935,340000;3258780913,670000;3131958936,810000;1259293255,390000;1999306066,390000;107070708,650000;4810856,210000;353907536,680000;304,420000;354320908,820000;342347640,570000;342760708,290000;368222481,820000;244916,730000;10837825,780000;14788075,400000;413372,140000;0,000000;0,000000;126448;0
2024;1;4;1;390;24847311881,510000;4499425224,830000;4499501034,100000;3346931847,180000;183152740,130000;33943572,240000;78763613,690000;40924438,350000;280668,090000;3624609869,920000;874891164,180000;0,000000;28463956196,900000;19682258782,400000;746389485,400000;512968849,100000;740724070,940000;229530126,890000;6788258673,360000;26670295178,530000;19575881195,650000;17718881899,030000;8953137768,060000;811008226,360000;705578715,590000;874875834,100000;29337659,840000;908833827,890000;761204593,590000;765824927,540000;1346586521,400000;273574389,110000;170780346,950000;191635120,400000;33957993,790000;132195379,600000;81592431,610000;62867;412
2024;1;5;0;390;4319673603,030000;738788463,300000;741704601,590000;494294062,820000;18633654,050000;3045336,040000;16639040,520000;2745781,230000;5938603,830000;528375990,690000;213328610,900000;17992542,530000;6267006946,200000;4145995485,380000;53523143,660000;64157053,570000;101384566,290000;23354919,120000;1470044302,700000;5616316815,170000;4136599489,620000;3559264459,540000;1645850475,050000;148743448,270000;5895011,280000;231333346,170000;107898,290000;235127951,840000;214259023,500000;217945730,880000;258949704,210000;1268606,930000;19548776,780000;18868771,960000;3794432,650000;0,000000;0,000000;74049;0
2024;1;5;1;390;97972117133,470000;14176921655,200000;14245285719,370000;11641613025,650000;269101772,720000;454523351,410000;649550270,930000;137451967,230000;397263378,090000;12906403414,690000;1338882304,680000;71311,010000;116423276948,170000;92975664145,720000;10166782192,930000;8595976395,980000;583081541,330000;1639169627,850000;15960867118,510000;123032260026,020000;92819889014,170000;97928562113,670000;25212469138,340000;1196261092,850000;10133236704,100000;1339019333,530000;263427699,230000;1791157458,360000;1459452434,550000;1648162860,150000;2890255367,520000;1131037135,840000;164523068,480000;174323018,190000;452135422,120000;248341833,640000;209276885,350000;54792;305
