EJER;SEXO;CCAA;MODELO;M714_1;M714_2;M714_3;M714_4;M714_5;M714_6;M714_7;M714_8;M714_9;M714_10;M714_11;M714_12;M714_13;M714_14;M714_15;M714_16;M714_17;M714_18
2023;1;1;714;18504119232,130000;14468912546,970000;32973031779,100000;4282141891,530000;1173946646,120000;951589166,310000;26441380294,550000;467034932,270000;62887964,520000;767997529,920000;13573544045,340000;4584300000,000000;9414633000,320000;118558995,710000;69187225,410000;69141476,730000;14124739,870000;6276
2023;2;1;714;10203874929,370000;11349668699,420000;21553543628,790000;3908195151,410000;1062303589,720000;850480651,320000;15662089084,020000;451808449,870000;23340832,530000;657629459,640000;10880000066,780000;4160600000,000000;7043467975,000000;78316274,400000;46187140,180000;46148391,840000;6665852,220000;5737
2023;1;2;714;9979430661,910000;7291816241,050000;17271246902,960000;2244526262,360000;576490570,340000;179829961,440000;14338504654,580000;211840912,240000;19778835,100000;276766277,240000;6948859344,490000;3499300000,000000;3546005789,820000;31231975,490000;22426648,310000;22425015,630000;22424852,830000;4999
2023;2;2;714;4806362106,690000;7312668171,410000;12119030278,100000;2453515970,910000;640879046,690000;165404471,190000;8971259577,260000;274161560,180000;6886064,540000;247802634,020000;7130713394,410000;3586800000,000000;3615868173,380000;35862057,150000;21158605,890000;21158596,120000;21157894,900000;5124
2023;1;3;714;1937128678,930000;3404625012,820000;5341753691,750000;1032149590,190000;263759059,910000;106134507,950000;3940655275,400000;70871573,190000;9795048,600000;182147696,420000;3268391806,430000;1490300000,000000;1817845663,180000;18503216,230000;12487265,850000;12485694,860000;12483298,510000;2129
2023;2;3;714;1643661166,900000;3542566541,100000;5186227708,000000;1192036424,530000;309842863,520000;77647941,460000;3640139723,400000;100668868,290000;5258721,520000;170476028,800000;3447538804,120000;1618400000,000000;1854666877,450000;18371986,250000;11291559,020000;11291148,080000;11208836,660000;2312
2023;1;4;714;8825438580,110000;10222997727,510000;19048436307,620000;4317314929,210000;1095620514,850000;315762903,840000;13429784325,050000;361431618,990000;52352740,380000;571789790,150000;9426670965,970000;3370500000,000000;6126950820,040000;95906058,880000;49971945,080000;49890470,040000;49887618,690000;4815
2023;2;4;714;5490155364,340000;8840986798,540000;14331142162,880000;4165382120,040000;1016844325,840000;179810566,600000;9259363556,100000;384894417,300000;19223601,810000;322467901,030000;8384026113,310000;3108700000,000000;5322419948,840000;82648462,820000;39599290,130000;39513200,180000;39513176,750000;4441
2023;1;5;714;8337849780,770000;6406005106,720000;14743854887,490000;2248334661,150000;495912502,060000;360501881,520000;11568245452,180000;165110256,920000;38117313,660000;363545322,060000;6011691988,590000;2529800000,000000;3659797984,400000;42653303,530000;24290633,370000;24275021,720000;24275021,720000;3614
2023;2;5;714;5077994435,060000;5988844756,760000;11066839191,820000;2327028115,130000;481279446,310000;202387398,590000;8082818551,830000;131439304,230000;15795212,990000;307370609,050000;5699603974,130000;2449300000,000000;3367247193,220000;37642800,580000;19907475,880000;19892610,100000;19892610,100000;3499
2023;1;6;714;2102496879,150000;2773196004,130000;4875692883,280000;825061244,450000;218220198,240000;42734790,320000;3838976419,970000;53398470,990000;5133136,700000;110388820,850000;2645139926,460000;989800000,000000;1666338878,590000;23766443,730000;11094112,280000;11094112,280000;11094112,280000;1414
2023;2;6;714;1422717638,720000;2871336416,460000;4294054055,180000;987381239,110000;264027237,400000;35699766,320000;3050768357,890000;123243068,970000;2617100,240000;94344522,650000;2805049544,390000;1155000000,000000;1658252020,640000;19454322,920000;11070712,540000;11070688,140000;11070688,140000;1650
2023;1;8;714;2556673485,800000;3231452421,300000;5788125907,100000;1141933321,360000;202854894,470000;85645524,920000;4335100680,600000;88859755,090000;5381796,820000;131204828,310000;3120430454,320000;1402100000,000000;1756375720,270000;16915848,730000;10102650,180000;10086764,910000;10086764,910000;2003
2023;2;8;714;1599499473,290000;2910890658,100000;4510390131,390000;1185830725,970000;204025588,720000;69636904,090000;3053782050,980000;102771878,570000;2514500,070000;95854071,710000;2862895986,010000;1416800000,000000;1479559402,000000;11374384,690000;7531754,300000;7531684,870000;7531684,870000;2024
2023;1;7;714;4789616820,390000;6650264453,670000;11439881274,060000;1945609270,580000;394750341,890000;161699920,660000;8919987797,680000;144790914,570000;16482309,880000;251311060,690000;6416075060,200000;2760100000,000000;3744310429,500000;36986845,810000;23778383,100000;23773730,960000;23773450,400000;3943
2023;2;7;714;3027389714,560000;6177754826,470000;9205144541,030000;1950525109,110000;387677731,010000;160596108,320000;6700225162,230000;173354227,730000;7120024,110000;213323909,530000;6023757468,370000;2691500000,000000;3385716974,970000;30943032,510000;19254018,650000;19249226,980000;19244709,680000;3845
2023;1;9;714;72608102383,360000;81783024605,080000;154391126988,440000;29635522123,840000;8379203519,390000;2072726350,280000;116075904725,280000;2862281415,470000;319148653,130000;3425543720,440000;77146018160,620000;22419000000,000000;55124558905,010000;750954445,460000;396565084,360000;396259019,460000;395934635,350000;44806
2023;2;9;714;35023158044,810000;70261260622,940000;105284418667,750000;30782268393,210000;8252686525,350000;1777204096,820000;66851485337,010000;3573052493,350000;110836764,580000;2189571582,780000;67795278455,820000;22996000000,000000;45011399389,620000;501370734,250000;268805503,670000;268578805,440000;268406317,350000;45984
2023;1;11;714;684888763,860000;473333449,710000;1158222213,570000;130978273,860000;24459177,050000;17917126,330000;962705507,640000;12894129,720000;1334076,420000;32393099,600000;457157424,220000;156900000,000000;306323723,620000;4040388,670000;2372823,360000;2372590,400000;49078,950000;311
2023;2;11;714;331221968,260000;426052825,690000;757274793,950000;132689730,120000;22704567,720000;23574119,440000;566526232,090000;13429468,790000;671503,690000;20383739,820000;418595075,770000;149400000,000000;275461301,320000;3485575,210000;2147160,950000;2147160,950000;4447,490000;294
2023;1;12;714;34665070351,660000;9087770041,660000;43752840393,320000;2438425333,980000;528541829,930000;131088144,000000;40506973591,000000;183168198,850000;125841083,490000;367344042,000000;8555684905,610000;3010000000,000000;5642699851,090000;84844921,430000;52391434,290000;52390998,490000;30352832,130000;4300
2023;2;12;714;12357683564,190000;11783402096,910000;24141085661,100000;2754683057,900000;594892009,690000;167222589,800000;20048772993,270000;652271500,280000;135109383,920000;383026135,930000;11455236291,970000;3250800000,000000;8297429381,740000;173523634,190000;76315165,470000;76314963,150000;48770972,440000;4644
2023;1;13;714;68288518701,250000;91185798004,910000;159474316706,160000;16530385707,820000;5400474700,440000;1118067142,520000;134809736719,000000;2050318851,120000;569872676,840000;4395935608,850000;85950085727,450000;8810200000,000000;77686412187,760000;1688098650,070000;707180184,770000;706760905,720000;345262229,240000;12586
2023;2;13;714;40031717168,840000;74684882881,220000;114716600050,060000;16244369501,470000;5091251127,630000;1043633193,560000;91501693459,680000;1942755316,920000;391572709,860000;3592575868,570000;71834088021,030000;8362900000,000000;63813636654,280000;1285944211,890000;475733616,710000;475459136,720000;224009202,770000;11947
2023;1;14;714;6090179221,070000;2757925433,640000;8848104654,710000;709640975,000000;141110655,000000;138981831,990000;7722313997,050000;90875569,570000;13875240,330000;172417040,770000;2589344787,780000;3907900000,000000;646268685,140000;11930662,350000;6139569,790000;6139569,790000;6139569,790000;1057
2023;2;14;714;3278193628,590000;2217466624,250000;5495660252,840000;669655280,150000;136011406,440000;71860054,750000;4518357053,540000;99607374,560000;5551766,180000;130628723,660000;2143458855,920000;3341100000,000000;470258135,810000;8305424,410000;2915909,290000;2915909,290000;2915909,290000;903
2023;1;17;714;2179938472,830000;2292957100,650000;4472895573,480000;728750471,620000;146052037,270000;50542362,120000;3548459013,080000;43915185,880000;4466032,810000;96762507,970000;2223627824,750000;835100000,000000;1407358653,900000;15385737,540000;8863331,390000;8863308,560000;8863308,560000;1193
2023;2;17;714;1297331017,740000;2236053300,600000;3533384318,340000;765589293,270000;156377387,120000;33387243,950000;2614265075,120000;51734550,670000;2006626,200000;66401529,130000;2194043349,260000;911400000,000000;1291616669,040000;11766151,670000;7367352,110000;7367352,110000;7367352,110000;1302
